title;dir;price;Size;rooms;bathrooms;parking
Casa en Venta;El Poblado - Medellín;3.300.000.000;560;4;4;
Florencia y Ferrara del Rio;El Poblado - Medellín;716.717.100;98;3;2;
Casa en Venta;El Poblado - Medellín;1.190.000.000;310;3;5;2
Apartamento en Venta;El Poblado - Medellín;550.000.000;90;2;3;1
Casa en Venta;El Poblado - Medellín;1.100.000.000;163;4;1;
Florencia y Ferrara del Rio;El Poblado - Medellín;711.481.700;97;3;2;
Casa en Venta;El Poblado - Medellín;1.400.000.000;400;6;4;1
Apartamento en Venta;El Poblado - Medellín;990.000.000;152;3;4;2
Apartamento en Venta;El Poblado - Medellín;360.000.000;78;3;2;2
Apartamento en Venta;El Poblado - Medellín;2.380.000.000;284;3;5;2
Oficina en Venta;El Poblado - Medellín;215.000.000;26;;1;1
Apartamento en Venta;El Poblado - Medellín;960.000.000;215;3;5;2
Apartamento en Venta;El Poblado - Medellín;590.000.000;109;2;3;2
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.320.000.000;250;3;4;2
Florencia y Ferrara del Rio;El Poblado - Medellín;691.763.300;95;3;3;1
Florencia y Ferrara del Rio;El Poblado - Medellín;978.280.350;137;3;4;1
Apartamento en Venta;El Poblado - Medellín;1.550.000.000;368;4;5;1
Casa en Venta;El Poblado - Medellín;1.100.000.000;300;3;4;2
Florencia y Ferrara del Rio;El Poblado - Medellín;825.544.800;118;3;3;0
Apartamento en Venta;El Poblado - Medellín;520.000.000;128;3;2;2
Apartamento en Venta;El Poblado - Medellín;690.500.000;113;3;2;2
Apartamento en Venta;El Poblado - Medellín;390.000.000;79;3;2;1
Apartamento en Venta;El Poblado - Medellín;560.000.000;96;3;2;1
Apartamento en Venta;El Poblado - Medellín;800.000.000;132;3;2;2
Oficina en Venta;El Poblado - Medellín;680.000.000;173;;2;
Casa en Venta;El Poblado - Medellín;10.900.000.000;1.009;7;8;4
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;225;3;5;1
Apartamento en Venta;El Poblado - Medellín;520.000.000;88;2;2;1
Apartamento en Venta;El Poblado - Medellín;520.000.000;110;3;2;1
Florencia y Ferrara del Rio;El Poblado - Medellín;648.117.800;85;3;2;1
Apartamento en Venta;El Poblado - Medellín;670.000.000;113;3;2;2
Casa en Venta;El Poblado - Medellín;2.700.000.000;689;4;8;8
Apartamento en Venta;El Poblado - Medellín;570.000.000;67;1;2;
Apartamento en Venta;El Poblado - Medellín;980.000.000;180;3;3;2
Casa en Venta;El Poblado - Medellín;980.000.000;240;4;5;4
Apartamento en Venta;El Poblado - Medellín;900.000.000;168;4;5;2
Casa en Venta;El Poblado - Medellín;670.000.000;220;5;3;1
Florencia y Ferrara del Rio;El Poblado - Medellín;685.295.900;89;3;2;1
Edificio en Venta;El Poblado - Medellín;3.000.000.000;616;5;4;
Apartamento en Venta;El Poblado - Medellín;650.000.000;174;4;4;2
Casa en Venta;El Poblado - Medellín;6.000.000.000;3.800;4;5;10
Apartamento en Venta;El Poblado - Medellín;563.000.000;120;2;3;2
Apartamento en Venta;El Poblado - Medellín;998.000.000;207;3;5;2
Apartamento en Venta;El Poblado - Medellín;460.000.000;93;3;2;2
Apartamento en Venta;El Poblado - Medellín;1.290.000.000;266;5;3;
Apartamento en Venta;El Poblado - Medellín;600.000.000;88;2;3;1
Apartamento en Venta;El Poblado - Medellín;695.000.000;280;4;3;2
Oficina en Venta;El Poblado - Medellín;650.000.000;52;;1;1
Apartamento en Venta;El Poblado - Medellín;720.000.000;178;4;5;2
Apartamento en Venta;El Poblado - Medellín;360.000.000;64;2;2;1
Apartamento en Venta;El Poblado - Medellín;530.000.000;78;2;3;1
Oficina en Venta;El Poblado - Medellín;870.000.000;97;;1;1
Apartamento en Venta;El Poblado - Medellín;935.000.000;236;3;5;1
Apartamento en Venta;El Poblado - Medellín;775.000.000;181;3;3;2
Apartamento en Venta;El Poblado - Medellín;810.000.000;224;4;4;2
Casa en Venta;El Poblado - Medellín;3.200.000.000;780;6;7;6
